,volume_1
full_heart_mesh_664,110.66535882442597
full_heart_mesh_665,126.67836603172763
full_heart_mesh_666,133.7419823471698
full_heart_mesh_667,133.35775031349448
full_heart_mesh_668,128.76031337781276
full_heart_mesh_669,118.94191038205669
full_heart_mesh_670,128.25596866125363
full_heart_mesh_671,125.31161985781237
full_heart_mesh_672,109.01213360410986
full_heart_mesh_673,132.50161267765336
full_heart_mesh_674,127.73709446472967
full_heart_mesh_675,117.21791349807164
full_heart_mesh_676,147.55174732172858
full_heart_mesh_677,135.7132312183341
full_heart_mesh_678,115.33539154651208
full_heart_mesh_679,120.42363101116408
full_heart_mesh_680,137.81609512034788
full_heart_mesh_681,107.65703035238303
full_heart_mesh_682,118.90914538361818
full_heart_mesh_683,128.14020693703102
full_heart_mesh_684,120.54434892073526
full_heart_mesh_685,118.26249837610882
full_heart_mesh_686,129.41988028460926
full_heart_mesh_687,130.6021813561659
full_heart_mesh_688,113.91920085639212
full_heart_mesh_689,116.69201514447431
full_heart_mesh_690,136.22414284068208
full_heart_mesh_691,120.45860361119446
full_heart_mesh_692,108.04782070503987
full_heart_mesh_693,119.37082639694016
full_heart_mesh_694,121.55010100245842
full_heart_mesh_695,123.5021923431502
full_heart_mesh_696,114.18134506372142
full_heart_mesh_697,128.77466897281423
full_heart_mesh_698,114.73795253840868
full_heart_mesh_699,145.7790636879607
full_heart_mesh_700,125.78460576405554
full_heart_mesh_701,117.99333774566779
full_heart_mesh_702,138.48876122089018
full_heart_mesh_703,116.34313956977181
full_heart_mesh_704,114.50249562244538
full_heart_mesh_705,138.49279644561142
full_heart_mesh_706,119.32097915484417
full_heart_mesh_707,136.8494295554741
full_heart_mesh_708,108.76315081914628
full_heart_mesh_709,129.054161134432
full_heart_mesh_710,120.57971232379083
full_heart_mesh_711,116.0049571447921
full_heart_mesh_712,125.79615333220588
full_heart_mesh_713,151.0848140998964
full_heart_mesh_714,111.79357389150363
full_heart_mesh_715,120.87109049571633
full_heart_mesh_716,124.41104491963905
full_heart_mesh_717,137.16995526186105
full_heart_mesh_718,128.17728769935954
full_heart_mesh_719,136.56118548981866
full_heart_mesh_720,125.76252909759624
full_heart_mesh_721,109.61594986402076
full_heart_mesh_722,138.5003842301836
full_heart_mesh_723,110.20508961179215
full_heart_mesh_724,117.8802115188139
full_heart_mesh_725,128.93552818372982
full_heart_mesh_726,115.47285760383363
full_heart_mesh_727,133.74818979017334
full_heart_mesh_728,131.5276930937089
full_heart_mesh_729,136.05260662740912
full_heart_mesh_730,120.17309856549487
full_heart_mesh_731,114.49677877972832
full_heart_mesh_732,128.62973286818323
full_heart_mesh_733,140.7773462513834
full_heart_mesh_734,99.97912991675697
full_heart_mesh_735,131.32419070201126
full_heart_mesh_736,121.1513314870158
